date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:49	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jan%202025%2017:54:48%20GMT	https://spruko.com/robots.txt		(from )
18:54:50	174567/174567	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202024%2021:49:38%20GMT	https://spruko.com/demo/tailwind/xintra/dist/html/index9.html	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/html/index9.html	(from )
18:54:50	11464/11464	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:44:38%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/js/main.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/js/main.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:51	89447/89447	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:42:56%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/choices.js/public/assets/scripts/choices.min.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/choices.js/public/assets/scripts/choices.min.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:51	3861/3861	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202024%2018:41:44%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/node-waves/waves.min.css	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/node-waves/waves.min.css	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:52	2950/2950	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202024%2018:41:56%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/simplebar/simplebar.min.css	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/simplebar/simplebar.min.css	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:52	16166/16166	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202024%2018:41:40%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/flatpickr/flatpickr.min.css	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/flatpickr/flatpickr.min.css	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:52	9248/9248	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202024%2018:42:02%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/@simonwep/pickr/themes/nano.min.css	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/@simonwep/pickr/themes/nano.min.css	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:52	7666/7666	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202024%2018:42:56%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/choices.js/public/assets/styles/choices.min.css	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/choices.js/public/assets/styles/choices.min.css	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:52	3093/3093	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202024%2018:42:02%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/@tarekraafat/autocomplete.js/css/autoComplete.css	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/@tarekraafat/autocomplete.js/css/autoComplete.css	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
